coin_name,coin_symbol,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,price,volume_24h
thorchain,RUNE,2293460733.9758782,-0.87495553,9.5192633,14.32471051,10.21994802029617,104670629.50427581
dash,DASH,2208407805.0913973,0.38454871,4.27383956,6.07801175,213.7287850119156,298228517.2450778
amp,AMP,2153880201.308718,-0.08677771,0.70751936,-5.64300575,0.05100633209502,30907652.56605444
chiliz,CHZ,2012295679.591353,0.04280202,2.36335597,0.50901398,0.34120354376804,214534292.5471775
helium,HNT,1948917501.8269858,-0.83889035,-2.55350304,-3.65372877,19.92100866809415,19989364.43076698
sushiswap,SUSHI,1925825497.1032755,-0.05044998,14.48018386,32.737193,15.13484952033053,982029750.3196628
decred,DCR,1893893719.0663412,-0.70824386,-1.98716629,-2.41066582,142.2391309923305,13326049.12834843
stacks,STX,1886019787.6964827,-1.43604783,-0.97451686,13.98178668,1.51210577780119,27049288.26756427
arweave,AR,1855020047.5594869,-1.67871953,1.78066624,-9.85453444,55.5483352750931,38470668.86416794
revain,REV,1833285878.8791182,-1.91270489,8.9844026,-6.14199314,0.02155247893934,2344310.08851984
zcash,ZEC,1798823519.9509344,-0.47245516,7.17002217,5.51451855,142.09621524679915,297909393.87375516
harmony,ONE,1737523128.319939,-0.82017016,-6.41793597,16.4703162,0.1646240183994,141500921.3198453
synthetix-network-token,SNX,1726780678.328036,-1.69756305,9.36107026,37.05265355,15.03620365419463,377386878.9255351
holo,HOT,1718278743.7527163,-1.55397777,0.7707279,-2.61695048,0.00993822979667,137892504.22530434
theta-fuel,TFUEL,1681790335.6345832,-0.8665751,-2.04640329,-1.91385812,0.31724623996241,56755172.93194718
nem,XEM,1671401714.3454187,-0.85498555,1.43555834,-1.63857784,0.18571130161457,61680751.21332332
celo,CELO,1666459043.66022,0.88133926,10.06504789,27.92038956,5.4314020259501,153698132.31613326
xinfin,XDC,1575460439.914419,-0.70986637,-0.05121329,-1.28340414,0.12813581135927,7388488.25832864
decentraland,MANA,1531391530.8784444,-1.70605277,1.91995809,1.13773829,0.85297182416602,94144543.04481484
curve-dao-token,CRV,1453850411.3744874,2.87280863,14.66942276,71.84461484,3.40680897808559,816224885.6172597
enjin-coin,ENJ,1429547622.0140753,-0.97883719,2.43824942,-0.60326477,1.71338601999214,108631411.34703216
trueusd,TUSD,1403545742.5733085,-0.00298235,-0.01684196,0.00225977,1.00027449880281,96368717.70444952
icon,ICX,1370309720.8561482,-1.17568091,2.17413832,36.08594048,2.04613878957261,202821964.77592447
mina,MINA,1375297036.843824,2.08042841,-4.07874781,20.12941359,5.78361410395844,161366371.65564308
iostoken,IOST,1344709508.1782017,-0.30519427,-4.09639379,-2.01478429,0.07429449381498,767875254.1491634
yearn-finance,YFI,1314713983.2527018,-1.35300636,0.05039138,5.03738609,35886.39823817424,297051330.8141065
zilliqa,ZIL,1270864616.8907688,-1.07102109,2.60541218,4.73633287,0.10826214189837,89229878.56499715
qtum,QTUM,1255610324.0608552,-0.65465677,0.77536174,-1.72597825,12.72135030841303,224294866.60883093
celsius,CEL,1249091011.1221223,0.20738662,0.78234329,-9.74561161,5.22930840185233,9617036.30062753
omg,OMG,1245286639.6079242,-1.38361183,2.75911597,4.39298215,8.8793404645713,551190554.3086085
horizen,ZEN,1236693876.293481,-0.29055423,25.9037511,34.9901309,107.30922447125626,261708665.1767403
flow,FLOW,1220397675.006733,-1.08842253,-1.17920809,2.63729394,21.3861638302211,149974776.69904172
bitcoin-gold,BTG,1200250581.7332184,-1.27530754,-0.02836119,0.56594719,68.5312217809984,56778255.1006343
basic-attention-token,BAT,1159516337.2867317,-0.91383494,-0.50931471,0.68440762,0.77801680285597,196346529.5373928
mdex,MDX,1158857368.3055997,-0.06387877,0.97895322,-0.79181793,1.71784098356263,30280078.03640494
telcoin,TEL,1156167557.625194,-1.40728043,10.39740662,15.2609526,0.02129139279242,19537123.63485295
okb,OKB,1138247658.760017,-1.18722957,0.66300765,0.98471453,18.97079431266695,178636908.74996632
ravencoin,RVN,1132829329.9590983,-1.5427845,-0.45895024,0.11012116,0.11727764410957,54266915.29190297
ren,REN,1085572384.518304,3.7233519,24.7047694,60.07439617,1.08800619887846,707973068.350644
perpetual-protocol,PERP,1040968075.904074,-1.05370516,-1.37718549,-5.89698035,17.63792143859492,40237263.51528025
bancor,BNT,992256788.7551181,-0.44107771,3.78488134,4.97789691,4.28517825538447,75119960.70465948
nexo,NEXO,968962213.4471787,-0.79217866,4.62853528,0.32888308,1.73028963288213,9655307.99811096
